# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. natC(n,n) point-wise cross section data. 
# It is a standard from 10 eV to 1.8 MeV. 
# CS is the cross section. DCS is the cross section uncertainty. 
# The 0.65 % unrecognized systematic uncertainty is included in the uncertainties in the table. 
# Linear interpolation is recommended except below 30 keV where log-log interpolation should be used. 
# 
En           CS        DCS
#   4.0000e-1   5.308101-2  1.659357-3  3.752443-5 -2.116497-6  1.199782-8  6.31396-11 -6.73727-12  5.93552-12
#   4.5000e-1   5.751641-2  2.057823-3  4.909292-5 -3.501574-6  2.164276-8  1.11145-10 -5.49544-12  6.29931-12
#   4.7250e-1   5.929818-2  2.249292-3  5.453430-5 -4.407370-6  2.841297-8  1.42792-10 -4.18668-12  6.44104-12
#   5.0000e-1   6.153410-2  2.491322-3  6.176717-5 -5.516792-6  3.643637-8  1.83696-10 -2.53690-12  6.61849-12
#   5.5000e-1   6.515711-2  2.957974-3  7.505263-5 -8.372572-6  5.845673-8  2.82839-10  3.24718-12  6.92383-12
#   5.7250e-1   6.659845-2  3.178394-3  8.082774-5 -1.012739-5  7.261407-8  3.36378-10  7.78952-12  7.07458-12
#   6.0000e-1   6.840543-2  3.456355-3  8.841465-5 -1.229406-5  8.959253-8  4.06168-10  1.35058-11  7.26342-12
#   6.5000e-1   7.129798-2  3.985291-3  1.011005-4 -1.757342-5  1.327111-7  5.37641-10  3.05968-11  7.71202-12
#   6.7250e-1   7.243150-2  4.232663-3  1.059308-4 -2.067447-5  1.587676-7  5.83459-10  4.26410-11  8.00958-12
#   7.0000e-1   7.385093-2  4.544118-3  1.122702-4 -2.452553-5  1.902584-7  6.46042-10  5.77816-11  8.38286-12
#   7.5000e-1   7.607977-2  5.132435-3  1.208617-4 -3.353860-5  2.658855-7  6.67344-10  9.94453-11  9.44426-12
#   7.7250e-1   7.693190-2  5.406179-3  1.229002-4 -3.865573-5  3.095127-7  5.89980-10  1.26880-10  1.01962-11
#   8.0000e-1   7.799753-2  5.750418-3  1.256825-4 -4.503449-5  3.625180-7  5.02198-10  1.61336-10  1.11399-11
#   8.5000e-1   7.961667-2  6.398537-3  1.253004-4 -5.951191-5  4.845004-7 -1.49071-11  2.50827-10  1.38157-11
#   8.7250e-1   8.020855-2  6.699652-3  1.220289-4 -6.751585-5  5.523422-7 -5.11915-10  3.06865-10  1.56504-11
#   9.0000e-1   8.094742-2  7.077933-3  1.181091-4 -7.751620-5  6.350803-7 -1.119092-9  3.77182-10  1.79520-11
#   9.5000e-1   8.199943-2  7.790087-3  1.022305-4 -9.966971-5  8.191072-7 -3.165841-9  5.51828-10  2.42056-11
#   9.7250e-1   8.234737-2  8.121406-3  9.032808-5 -1.116575-4  9.184270-7 -4.717448-9  6.56890-10  2.83109-11
#   1.0000e+0   8.278037-2  8.537271-3  7.556180-5 -1.266548-4  1.039905-6 -6.635388-9  7.88614-10  3.34574-11
#   1.0725e+0   8.333664-2  9.688876-3  7.106491-6 -1.778181-4  1.449914-6 -1.678782-8  1.309724-9  5.67051-11
#   1.1000e+0   8.355524-2  1.014838-2 -2.013717-5 -1.982086-4  1.610012-6 -2.079381-8  1.517493-9  6.59736-11
#   1.1725e+0   8.338204-2  1.143123-2 -1.433927-4 -2.703005-4  2.160839-6 -4.332264-8  2.385329-9  1.11484-10
#   1.2000e+0   8.331038-2  1.194236-2 -1.924133-4 -2.990115-4  2.376345-6 -5.222650-8  2.730796-9  1.29600-10
#   1.2725e+0   8.241941-2  1.338851-2 -3.922023-4 -3.975719-4  3.085338-6 -9.780972-8  4.098964-9  2.13698-10
#   1.3000e+0   8.206299-2  1.396390-2 -4.715563-4 -4.367838-4  3.363547-6 -1.158308-7  4.642757-9  2.47124-10
#   1.3725e+0   8.044918-2  1.561725-2 -7.764956-4 -5.675399-4  4.238967-6 -2.022841-7  6.694460-9  3.95162-10
#   1.4000e+0   7.980683-2  1.627429-2 -8.974114-4 -6.194944-4  4.584793-6 -2.364512-7  7.508670-9  4.53911-10
#   1.4725e+0   7.744422-2  1.819353-2 -1.346612-3 -7.871417-4  5.620454-6 -3.929892-7  1.044219-8  7.03870-10
#   1.5000e+0   7.650632-2  1.895590-2 -1.524332-3 -8.536440-4  6.038772-6 -4.548097-7  1.160459-8  8.02914-10
#   1.5725e+0   7.333820-2  2.121855-2 -2.174980-3 -1.058621-3  7.212959-6 -7.295358-7  1.560268-8  1.209938-9
#   1.6000e+0   7.207773-2  2.212541-2 -2.430966-3 -1.139538-3  7.757223-6 -8.379386-7  1.718502-8  1.371004-9
#   1.6725e+0   6.797838-2  2.485017-2 -3.376019-3 -1.368413-3  9.135533-6 -1.313330-6  2.236076-8  2.013030-9
#   1.7000e+0   6.629818-2  2.603723-2 -3.741698-3 -1.455527-3  1.014180-5 -1.500889-6  2.440600-8  2.266608-9
#   1.7100e+0   6.556893-2  2.651703-2 -3.932463-3 -1.480859-3  1.045266-5 -1.613166-6  2.525406-8  2.399068-9
#   1.7200e+0   6.477361-2  2.715349-2 -4.117131-3 -1.501587-3  1.114080-5 -1.725949-6  2.610414-8  2.531971-9
#   1.7300e+0   6.385984-2  2.822138-2 -4.287641-3 -1.508799-3  1.240286-5 -1.838150-6  2.694051-8  2.663482-9
#   1.7400e+0   6.265841-2  3.163201-2 -4.413172-3 -1.438178-3  1.352786-5 -1.940602-6  2.763659-8  2.778871-9
#   1.7430e+0   6.248227-2  3.302374-2 -4.475190-3 -1.401874-3  1.125294-5 -1.967863-6  2.779768-8  2.808152-9
#   1.7455e+0   6.261336-2  3.278985-2 -4.571739-3 -1.416408-3  8.033111-6 -1.995914-6  2.800600-8  2.841328-9
#   1.7550e+0   6.249409-2  2.921070-2 -4.873551-3 -1.571895-3  5.789538-6 -2.122527-6  2.906604-8  2.998238-9
#   1.7650e+0   6.159999-2  2.880485-2 -5.077469-3 -1.628228-3  7.122590-6 -2.243670-6  3.000701-8  3.143065-9
#   1.8000e+0   5.897714-2  3.039006-2 -5.787821-3 -1.730411-3  8.088742-6 -2.658398-6  3.313802-8  3.633082-9
